movie_title,release_year,genres,imdb_score,budget,gross,director_name,director_facebook_likes,num_critic_for_reviews,actor_3_name,actor_3_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_1_name,actor_1_facebook_likes,movie_facebook_likes,cast_total_facebook_likes,num_voted_users,world_population
Meet Joe Black,1998,Drama|Fantasy|Romance,7.1,90000000.0,44606335.0,Martin Brest,102.0,98.0,Jake Weber,551.0,Brad Pitt,11000.0,Anthony Hopkins,12000.0,10000,23950,169023,5979851049.0
Scott Pilgrim vs. the World,2010,Action|Comedy|Fantasy|Romance,7.5,60000000.0,31494270.0,Edgar Wright,1000.0,393.0,Ellen Wong,719.0,Kieran Culkin,1000.0,Anna Kendrick,10000.0,36000,12687,273921,6969894715.0
Nutty Professor II: The Klumps,2000,Comedy|Romance|Sci-Fi,4.3,65000000.0,123307945.0,Peter Segal,88.0,94.0,Chris Elliott,571.0,Janet Jackson,592.0,Larry Miller,611.0,374,2818,39391,6144444748.0
Click,2006,Comedy|Drama|Fantasy|Romance,6.4,70000000.0,137340146.0,Frank Coraci,153.0,173.0,Julie Kavner,233.0,Cameron Monaghan,1000.0,Adam Sandler,11000.0,7000,12700,246492,6635162568.0
Creepshow,1982,Comedy|Fantasy|Horror,6.9,8000000.0,48468407.52680933,George A. Romero,0.0,127.0,Adrienne Barbeau,602.0,Hal Holbrook,826.0,Ted Danson,875.0,0,2662,29932,4602785312.0
Hellboy II: The Golden Army,2008,Action|Adventure|Fantasy|Horror|Sci-Fi,7.0,85000000.0,75754670.0,Guillermo del Toro,0.0,345.0,Brian Steele,160.0,Iván Kamarás,169.0,Seth MacFarlane,3000.0,3000,3632,208422,6801421733.0
Deep Impact,1998,Action|Drama|Romance|Sci-Fi|Thriller,6.1,75000000.0,140459099.0,Mimi Leder,75.0,125.0,Robert Duvall,3000.0,Jon Favreau,4000.0,Morgan Freeman,11000.0,0,22750,135601,5979851049.0
Something's Gotta Give,2003,Comedy|Drama|Romance,6.7,80000000.0,124590960.0,Nancy Meyers,278.0,145.0,Paul Michael Glaser,343.0,Jon Favreau,4000.0,Keanu Reeves,18000.0,0,22679,91092,6389592840.0
Four Christmases,2008,Comedy|Drama|Romance,5.6,80000000.0,120136047.0,Seth Gordon,91.0,141.0,Katy Mixon,982.0,Robert Duvall,3000.0,Jon Favreau,4000.0,0,9913,48500,6801421733.0
Bedtime Stories,2008,Comedy|Family|Fantasy|Romance,6.1,80000000.0,109993847.0,Adam Shankman,163.0,144.0,Kathryn Joosten,495.0,Carmen Electra,869.0,Adam Sandler,11000.0,0,12831,72326,6801421733.0
Just Go with It,2011,Comedy|Romance,6.4,80000000.0,103028109.0,Dennis Dugan,221.0,204.0,Kevin Nealon,503.0,Bailee Madison,3000.0,Adam Sandler,11000.0,19000,16325,172878,7053988749.0
Cold Mountain,2003,Adventure|Drama|History|Romance|War,7.2,79000000.0,95632614.0,Anthony Minghella,333.0,198.0,Charlie Hunnam,16000.0,Natalie Portman,20000.0,Philip Seymour Hoffman,22000.0,0,61110,118483,6389592840.0
The Haunting,1999,Fantasy|Horror|Mystery|Thriller,4.9,80000000.0,91188905.0,Jan de Bont,101.0,167.0,Virginia Madsen,913.0,Lili Taylor,960.0,Liam Neeson,14000.0,0,17786,58184,6062415429.0
Conspiracy Theory,1997,Action|Crime|Mystery|Romance|Thriller,6.7,75000000.0,76081498.0,Richard Donner,503.0,80.0,Michael Potts,67.0,Alex McArthur,137.0,Julia Roberts,8000.0,0,8355,76099,5896174827.0
Six Days Seven Nights,1998,Action|Adventure|Comedy|Romance,5.7,70000000.0,74329966.0,Ivan Reitman,425.0,97.0,Amy Sedaris,397.0,Anne Heche,643.0,Harrison Ford,11000.0,0,12729,60910,5979851049.0
Zookeeper,2011,Comedy|Family|Romance,5.2,80000000.0,80360866.0,Frank Coraci,153.0,178.0,Nicholas Turturro,269.0,Leslie Bibb,1000.0,Rosario Dawson,3000.0,0,5392,44662,7053988749.0
Déjà Vu,1997,Drama|Romance,7.0,39752620.436387606,821997.0,Henry Jaglom,69.0,19.0,Michael Brandon,87.0,Stephen Dillane,577.0,Vanessa Redgrave,898.0,91,1753,666,5896174827.0
What Dreams May Come,1998,Drama|Fantasy|Romance,7.0,85000000.0,55350897.0,Vincent Ward,25.0,121.0,Rosalind Chao,129.0,Annabella Sciorra,448.0,Robin Williams,49000.0,32000,49631,83560,5979851049.0
Evolution,2015,Drama|Horror|Mystery|Sci-Fi,6.4,39752620.436387606,48468407.52680933,Lucile Hadzihalilovic,92.0,63.0,Julie-Marie Parmentier,8.0,Roxane Duran,21.0,Nissim Renard,23.0,257,54,979,7404251118.0
Nine,2009,Drama|Musical|Romance,5.8,80000000.0,19673424.0,Rob Marshall,252.0,205.0,Andrea Di Stefano,30.0,Elio Germano,48.0,Fergie,529.0,0,619,37446,6885608628.0
A Sound of Thunder,2005,Action|Adventure|Horror|Sci-Fi|Thriller,4.2,52000000.0,1891821.0,Peter Hyams,0.0,113.0,Jemima Rooper,212.0,Catherine McCormack,307.0,David Oyelowo,1000.0,785,1890,16474,6552787172.0
Pompeii,2014,Action|Adventure|Drama|History|Romance,5.6,80000000.0,23219748.0,Paul W.S. Anderson,545.0,272.0,Dylan Schombing,74.0,Currie Graham,172.0,Sasha Roiz,795.0,20000,1099,84508,7317304568.0
50 First Dates,2004,Comedy|Romance,6.8,75000000.0,120776832.0,Peter Segal,88.0,147.0,Allen Covert,328.0,Peter Dante,427.0,Adam Sandler,11000.0,11000,12952,266103,6471033757.0
Hairspray,2007,Comedy|Drama|Family|Music|Musical|Romance,6.7,75000000.0,118823091.0,Adam Shankman,163.0,219.0,Paul Dooley,260.0,Elijah Kelley,339.0,Jerry Stiller,719.0,0,1673,98693,6717583637.0
Exorcist: The Beginning,2004,Horror|Mystery|Thriller,5.1,50000000.0,41814863.0,Renny Harlin,212.0,167.0,Izabella Scorupco,394.0,Alan Ford,422.0,James D'Arcy,613.0,893,1970,28635,6471033757.0
Constantine            ,2002,Drama|Fantasy|Horror|Thriller,7.5,39752620.436387606,48468407.52680933,Steven Spielberg,686.5092123911724,12.0,Charles Halford,218.0,Matt Ryan,560.0,Harold Perrineau,1000.0,10000,1990,36919,6308284566.0
Killers,2010,Action|Comedy|Romance|Thriller,5.4,75000000.0,47000485.0,Robert Luketic,126.0,140.0,Catherine O'Hara,925.0,Lisa Ann Walter,1000.0,Tom Selleck,19000.0,0,25206,72867,6969894715.0
Spanglish,2004,Comedy|Drama|Romance,6.5,80000000.0,42044321.0,James L. Brooks,274.0,124.0,Sarah Steele,138.0,Paz Vega,964.0,Adam Sandler,11000.0,0,12522,65668,6471033757.0
Bandits,2001,Comedy|Crime|Drama|Romance,6.6,80000000.0,41523271.0,Barry Levinson,272.0,132.0,Azura Skye,193.0,Brían F. O'Byrne,450.0,Bruce Willis,13000.0,0,13934,57038,6226487141.0
First Knight,1995,Action|Adventure|Romance|Thriller,5.9,55000000.0,37600435.0,Jerry Zucker,109.0,53.0,John Gielgud,249.0,Ben Cross,303.0,Julia Ormond,919.0,0,1695,55350,5726848893.0
Anna and the King,1999,Drama|History|Romance,6.7,75000000.0,39251128.0,Andy Tennant,72.0,91.0,Randall Duk Kim,99.0,Geoffrey Palmer,103.0,Bai Ling,582.0,0,804,31080,6062415429.0
Immortals,2011,Action|Drama|Fantasy|Romance,6.1,75000000.0,83503161.0,Tarsem Singh,763.0,284.0,Steve Byers,222.0,Daniel Sharman,1000.0,Henry Cavill,15000.0,30000,16691,138190,7053988749.0
Carriers,2009,Drama|Horror|Sci-Fi|Thriller,6.0,39752620.436387606,90820.0,David Pastor,10.0,130.0,Lou Taylor Pucci,394.0,Kiernan Shipka,552.0,Christopher Meloni,3000.0,0,4368,35510,6885608628.0
Fool's Gold,2008,Action|Adventure|Comedy|Romance|Thriller,5.6,70000000.0,70224196.0,Andy Tennant,72.0,176.0,Alexis Dziena,715.0,Ray Winstone,1000.0,Matthew McConaughey,11000.0,0,13827,59352,6801421733.0
The Majestic,2001,Drama|Romance,6.9,72000000.0,27796042.0,Frank Darabont,0.0,128.0,Jeffrey DeMunn,745.0,Hal Holbrook,826.0,Martin Landau,940.0,0,4310,45031,6226487141.0
The Village,2004,Drama|Mystery|Romance|Thriller,6.5,60000000.0,114195633.0,M. Night Shyamalan,0.0,261.0,William Hurt,882.0,Judy Greer,2000.0,Bryce Dallas Howard,3000.0,0,7273,193770,6471033757.0
Shrek 2,2004,Adventure|Animation|Comedy|Family|Fantasy|Romance,7.2,150000000.0,436471036.0,Andrew Adamson,80.0,205.0,Conrad Vernon,48.0,Jennifer Saunders,309.0,Rupert Everett,692.0,0,1148,314630,6471033757.0
Runaway Bride,1999,Comedy|Romance,5.5,70000000.0,152149590.0,Garry Marshall,0.0,103.0,Hector Elizondo,995.0,Christopher Meloni,3000.0,Julia Roberts,8000.0,0,12790,74274,6062415429.0
Vanilla Sky,2001,Fantasy|Mystery|Romance|Sci-Fi|Thriller,6.9,68000000.0,100614858.0,Cameron Crowe,488.0,153.0,Noah Taylor,509.0,Ivana Milicevic,834.0,Tom Cruise,10000.0,0,11458,206776,6226487141.0
AVP: Alien vs. Predator,2004,Action|Horror|Sci-Fi|Thriller,5.6,60000000.0,80281096.0,Paul W.S. Anderson,545.0,247.0,Raoul Bova,727.0,Colin Salmon,766.0,Sanaa Lathan,886.0,0,3222,143628,6471033757.0
Wolf,1994,Drama|Horror|Romance|Thriller,6.2,70000000.0,65012000.0,Mike Nichols,0.0,59.0,Ron Rifkin,184.0,Peter Gerety,277.0,David Hyde Pierce,443.0,0,1439,43559,5642156981.0
Dracula Untold,2014,Action|Drama|Fantasy|Horror|War,6.3,70000000.0,55942830.0,Gary Shore,28.0,261.0,Zach McGowan,423.0,Sarah Gadon,692.0,Dominic Cooper,3000.0,37000,5178,138582,7317304568.0
Stardust,2007,Adventure|Family|Fantasy|Romance,7.7,70000000.0,38345403.0,Matthew Vaughn,905.0,228.0,Nathaniel Parker,271.0,David Kelly,588.0,Henry Cavill,15000.0,15000,16034,212085,6717583637.0
Doom,2005,Action|Adventure|Horror|Sci-Fi,5.2,60000000.0,28031250.0,Andrzej Bartkowiak,43.0,237.0,Dexter Fletcher,452.0,Ben Daniels,585.0,Dwayne Johnson,12000.0,0,13517,88146,6552787172.0
Underworld: Awakening,2012,Action|Fantasy|Horror,6.4,70000000.0,62321039.0,Måns Mårlind,24.0,242.0,Sandrine Holt,324.0,Stephen Rea,327.0,Theo James,5000.0,24000,5861,117096,7141430933.0
Rock of Ages,2012,Comedy|Drama|Musical|Romance,5.9,75000000.0,38509342.0,Adam Shankman,163.0,360.0,Celina Beach,66.0,Shane Hartline,217.0,James Martin Kelly,394.0,33000,712,61995,7141430933.0
The Twilight Saga: Eclipse,2010,Adventure|Drama|Fantasy|Romance,4.9,68000000.0,300523113.0,David Slade,171.0,293.0,Anna Kendrick,10000.0,Kristen Stewart,17000.0,Robert Pattinson,21000.0,29000,52547,184637,6969894715.0
Agora,2009,Adventure|Drama|History|Romance,7.2,70000000.0,617840.0,Alejandro Amenábar,448.0,180.0,Rupert Evans,334.0,Ashraf Barhom,451.0,Max Minghella,614.0,29000,1829,52496,6885608628.0
Hall Pass,2011,Comedy|Romance,5.9,36000000.0,45045037.0,Bobby Farrelly,101.0,237.0,Stephen Merchant,681.0,Larry Joe Campbell,919.0,Jenna Fischer,966.0,10000,3393,103230,7053988749.0
Abraham Lincoln: Vampire Hunter,2012,Action|Fantasy|Horror,5.9,69000000.0,37516013.0,Timur Bekmambetov,335.0,393.0,Benjamin Walker,911.0,Dominic Cooper,3000.0,Rufus Sewell,3000.0,98000,8281,128629,7141430933.0
Entrapment,1999,Action|Crime|Romance|Thriller,6.2,66000000.0,87704396.0,Jon Amiel,36.0,138.0,Maury Chaykin,232.0,Kevin McNally,427.0,Will Patton,537.0,0,1302,88132,6062415429.0
What Women Want,2000,Comedy|Fantasy|Romance,6.4,70000000.0,182805123.0,Nancy Meyers,278.0,149.0,Loretta Devine,912.0,Lisa Edelstein,955.0,Judy Greer,2000.0,0,5838,158864,6144444748.0
Dreamcatcher,2003,Drama|Horror|Sci-Fi|Thriller,5.5,68000000.0,33685268.0,Lawrence Kasdan,759.0,175.0,Reece Thompson,354.0,Michael O'Neill,599.0,Morgan Freeman,11000.0,4000,12194,75573,6389592840.0
Les Misérables,2012,Drama|Musical|Romance,7.6,61000000.0,148775460.0,Tom Hooper,0.0,488.0,Anne Hathaway,11000.0,Eddie Redmayne,13000.0,Hugh Jackman,20000.0,144000,46204,243834,7141430933.0
You've Got Mail,1998,Comedy|Drama|Romance,6.5,65000000.0,115731542.0,Nora Ephron,0.0,153.0,Dave Chappelle,744.0,Jean Stapleton,793.0,Tom Hanks,15000.0,0,17768,151812,5979851049.0
The Mask of Zorro,1998,Action|Adventure|Comedy|Romance|Thriller|Western,6.7,65000000.0,93771072.0,Martin Campbell,258.0,156.0,Stuart Wilson,94.0,Tony Amendola,174.0,Anthony Hopkins,12000.0,0,12396,135404,5979851049.0
The Dictator,2012,Comedy|Romance,6.4,65000000.0,59617068.0,Larry Charles,119.0,313.0,Horatio Sanz,174.0,Aasif Mandvi,346.0,Sayed Badreya,600.0,59000,1375,213863,7141430933.0
Focus,2015,Comedy|Crime|Drama|Romance,6.6,50100000.0,53846915.0,Glenn Ficarra,43.0,279.0,Gerald McRaney,523.0,Adrian Martinez,806.0,Will Smith,10000.0,23000,11943,149337,7404251118.0
This Means War,2012,Action|Comedy|Romance,6.3,65000000.0,54758461.0,McG,368.0,241.0,Warren Christie,520.0,Abigail Spencer,1000.0,Tom Hardy,27000.0,18000,29808,147641,7141430933.0
Blade: Trinity,2004,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,5.9,65000000.0,52397389.0,David S. Goyer,687.0,185.0,John Michael Higgins,957.0,Natasha Lyonne,1000.0,Ryan Reynolds,16000.0,0,19764,132954,6471033757.0
Resident Evil: Retribution,2012,Action|Horror|Sci-Fi|Thriller,5.4,65000000.0,42345531.0,Paul W.S. Anderson,545.0,239.0,Bingbing Li,974.0,Boris Kodjoe,1000.0,Milla Jovovich,14000.0,32000,17913,104831,7141430933.0
Random Hearts,1999,Drama|Mystery|Romance,5.1,64000000.0,31054924.0,Sydney Pollack,521.0,96.0,Bill Cobbs,970.0,Kristin Scott Thomas,1000.0,Harrison Ford,11000.0,295,16710,17025,6062415429.0
The American President,1995,Comedy|Drama|Romance,6.8,62000000.0,65000000.0,Rob Reiner,0.0,75.0,Wendie Malick,452.0,Samantha Mathis,517.0,Shawna Waldron,524.0,0,2668,43027,5726848893.0
