,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15
it—lift,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
it—now,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
it—run,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
it—that,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
it—the,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
it—to,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
it—whether,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
it—would,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it—ye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ivory,1,0,0,3,0,3,9,1,4,0,3,2,18,5,1
ivory-inlaid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ivory-ribbed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ivory-tusked,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ivory—Oh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jabbering,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
jack-knife,1,0,0,1,2,0,0,0,0,1,0,0,3,0,0
jack-knives,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
jack-of-all-trades.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jackal,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
jackasses,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jacket,0,1,4,0,3,1,1,0,3,1,1,0,1,1,1
jacket.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jackets,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jagged,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
jail,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
jails,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jalap,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jam,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
jambs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jammed,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
jamming,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
japonicas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jar,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
jars,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jaundice,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
javelin,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
javelins,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
jaw,1,0,0,4,0,2,4,4,0,3,14,2,6,1,10
jaw-bone,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
jaw-ivory,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jaws,1,0,0,2,0,1,3,0,2,5,3,1,2,0,5
jaw—being,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jealous,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
jealously,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jealousy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jeer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jeering,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jeeringly,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jelly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jeopardize,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jeopardized,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
jeopardy,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0
jerk,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
jerked,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
jerking,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1
jerkingly,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jesty,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
jet,1,0,0,0,0,0,2,2,6,5,0,7,4,2,2
jet-black,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jets,0,0,0,0,0,0,1,0,1,2,0,3,1,1,0
jetted,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
jettest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jetting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jewel-hilted,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jewelled,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
jeweller,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jewellers,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
jewels,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jib,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
jib-boom,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jib-booms,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jib-stay,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jibs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jiff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jiffy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jig,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
jingle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jinglers,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jingling,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
job,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0
job-shop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
job—coming,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jocularly,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
joes,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
jogged,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jogs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
join,0,0,0,1,1,0,0,1,0,1,2,0,0,2,0
joined,0,0,1,0,1,0,0,1,0,3,1,0,0,0,0
joiner,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
joining,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
joins,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
joint,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
joint-commanders,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
joint-owners,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
joint-stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
joints,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0
joist,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
joists,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
joke,0,0,1,0,0,1,1,0,4,0,0,0,1,0,0
joker,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
jokes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
joking,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
joky,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
jollies,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
jollity,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
jolly,3,1,0,0,1,1,1,1,1,0,0,0,7,4,0
jolly-boat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
joosy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
joosy.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jostle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jot,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1
journey,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
journeyman,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
journeys,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jovial,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
joy,0,1,1,2,1,0,1,0,0,1,0,1,1,4,0
joy-childlessness,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
joyful,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
joyfully,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
joyous,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
joyously,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
joyousness—a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
joy—,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jubilations,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
judge,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
judge.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
judges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
judging,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
judgmatically,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
judgment,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
judgments,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
judicious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
judiciously,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
juggler,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
jugglers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
juggling,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
juices,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
juicy,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
jumbled,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jump,1,1,0,0,2,0,0,2,0,1,1,0,5,1,1
jumped,0,2,0,0,1,0,0,0,0,0,1,0,3,3,0
jumping,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
junction,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
juncture,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
jungle,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
junior,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
junk,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
junks,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
jure,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jurisdiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jurisprudence,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jury-masts—how,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
just,3,10,3,5,10,4,7,5,4,12,10,7,9,15,6
justice,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
justification,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
justified,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
justify,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
justly,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
kannakin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
keel,0,0,0,0,0,2,0,1,2,1,3,3,1,4,7
keel.—On,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
keeled,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
keeling,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
keels,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0
keels—one,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
keen,1,0,0,0,0,1,0,1,2,1,5,1,0,3,1
keener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
keenest,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
keenly,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
keep,2,2,0,1,0,2,9,0,5,9,9,6,6,5,8
keepers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
keeping,0,1,0,4,2,1,0,0,0,2,2,0,0,0,2
keeps,0,1,0,0,1,0,1,1,0,0,1,2,1,0,0
keg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kelpy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kelson,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
kennel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kentledge,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kept,1,2,2,1,0,5,7,0,5,3,5,1,8,3,4
kettles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
key,1,0,0,1,1,0,0,1,0,3,0,0,0,0,0
key-hole,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
key-note,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
keyed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
keys,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
keystone,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kick,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0
kicked,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
kicking,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
kicks,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
kidnap,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kidnapped,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kidnapping,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
kill,1,1,0,0,3,2,0,2,2,1,2,3,1,4,1
kill-e,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0
kill-e.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
killed,0,0,1,1,2,2,1,1,0,3,0,7,3,6,1
killers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
killing,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
kills,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kin,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
kind,1,1,1,0,1,3,3,1,2,2,1,2,4,2,0
kindhearted,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kindle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kindled,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
kindling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kindling-wood,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kindly,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
kindness,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
kindred,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
kinds,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
kind—not,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kine,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
king,0,0,0,0,3,2,1,4,0,0,2,1,5,2,0
kingdom,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kingdoms,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kingly,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kings,0,0,0,1,0,3,1,4,1,1,0,1,1,1,0
kink,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
kinsmen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kiss,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kissed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kitchen,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
kith,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
kitten-like,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
knaves,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
knee,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0
knee-deep,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knee-joint,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
knee-pans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kneel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kneel.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kneeling,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0
kneepans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
knees,0,0,0,2,0,0,3,0,2,0,0,0,1,0,0
knew,2,3,1,3,4,1,1,6,8,2,1,0,3,5,3
knife,0,0,0,0,0,0,4,3,2,1,1,0,1,0,0
knife-handle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
knife-like,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
knight-errantism,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
knight-heads,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
knightly,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
knights,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
knit,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
knitted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
knitting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
knitting-needles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
knives,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0
knob,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
knobbed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
knobby,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
knobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
knock,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
knocked,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1
knockers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
knocking,1,0,1,1,0,0,0,0,0,3,0,0,0,1,0
knockings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knocks—the,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
knot,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
knot-holes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
knots,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
knotted,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1
knottiest,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
knotty,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
know,0,4,2,6,22,2,13,7,7,20,14,13,21,13,4
know.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
knowest,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
knowing,2,1,0,1,1,0,1,1,2,2,1,2,0,1,0
knowingly,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
knowledge,0,0,0,0,1,0,3,3,1,0,0,0,3,1,0
known,0,0,0,5,1,6,14,8,5,10,5,10,2,5,5
knows,1,0,1,2,3,2,1,3,2,0,2,3,3,2,1
knows.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
knows—and,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
know—not,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
know—relieve,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
l.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
la,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0
label,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
labelled,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
labor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
labored,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
laborers,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
laborious,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
labors,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
labyrinth,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
lace,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
laced,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
laceration,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lacings,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lack,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
lacks,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lacquered,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
lactantem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lad,0,0,0,1,3,0,1,0,0,0,1,2,3,10,0
lad.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ladder,0,0,7,0,0,0,0,0,0,1,2,0,1,0,0
laden,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
ladies,0,0,1,0,0,1,1,2,0,1,1,5,1,0,0
ladle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lads,0,0,0,0,0,0,2,4,1,4,0,1,0,0,0
lads—baked,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lads—such,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lady,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0
lad—fleet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
laid,0,0,0,1,1,3,1,2,2,1,1,3,0,5,0
lain,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
lake,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0
lakes,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
lake—evinced,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lamb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lament,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lamentable,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lamp,0,2,0,7,0,0,1,1,1,0,1,1,2,1,0
lamp-feeder,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0
lamp-feeders,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
lamps,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
lamps—often,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lamp—all,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lamp—taking,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lance,1,0,0,0,3,3,3,2,1,5,4,12,0,3,3
lance-head,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lance-pole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lancer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lancers,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lances,1,0,0,0,0,1,1,5,1,1,1,1,2,3,6
lancet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
land,6,2,3,8,1,8,4,1,6,5,4,8,5,6,3
land-bird,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
land-breeze,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
land-like,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
land-locked,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
landed,1,2,1,1,1,1,0,0,2,0,0,0,1,1,1
landing,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
landlady,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
landless,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
landlessness,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
landlord,5,16,2,3,0,0,0,0,0,0,0,1,0,0,0
lands,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0
landscape,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
landscapes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
landsman,0,0,0,0,1,0,0,0,1,2,0,1,2,1,0
landsmen,1,0,0,0,0,2,3,1,0,1,2,0,0,0,0
lanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
languages,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
language—that,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
languid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
languishing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
languor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lantern,0,0,0,0,0,2,0,0,3,3,1,0,2,1,0
lanterns,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1
lanyard,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
lap,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lapse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
lapsed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
larboard,0,0,0,3,0,0,0,0,1,0,2,0,0,1,0
larboard—larboard,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
larceny,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lard,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
larders,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
large,1,4,2,4,2,3,6,3,11,6,13,4,13,2,0
large-eyed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
largely,0,0,0,0,0,0,1,0,0,1,2,2,1,0,0
largeness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
larger,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1
largest,0,0,0,0,2,0,3,0,1,2,0,4,5,1,0
lash,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2
lashed,0,1,0,0,0,1,0,0,0,0,2,0,1,4,0
lashes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lashing,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2
lashings,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
lashless,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lasses,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lassitude,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lasso,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
last,7,11,5,18,10,17,16,11,11,23,18,24,31,45,25
last-mentioned,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
last.—Down,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lasted,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
lasting,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lastly,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
lasts,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
last—,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
last—owing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
latch-key,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
late,2,5,1,1,0,0,2,2,0,2,1,3,5,1,3
lately,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
latent,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
latently,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
later,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
latest,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
lath,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lathering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
latitude,0,0,0,0,0,1,1,3,1,1,1,0,1,3,1
latitudes,0,0,0,0,0,1,1,6,3,1,0,0,0,3,0
latter,0,0,0,0,0,0,1,1,2,1,3,0,5,1,0
laudanum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
laugh,0,0,1,2,1,0,1,3,0,0,0,0,2,5,2
laughable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
laughed,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0
laugheth,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
laughing,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
laughing-eyed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
